Exportações (FOB)
Sigla;Código;Estado;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
AC;12;Acre;332076;1538778;1462822;466416;5710356;3637241;3704020;6529217;18106471;23300560;18981325;20764535;15613222;20601404;19844302;11804475;18341443;19153583;27791285;24779970;25613473;45255786;31526927;29699469;42857409;40483332;30339499;61930769;65281603;
AL;27;Alagoas;316590745;254365425;187367547;198479124;259563898;271745896;332115825;431679396;559477995;740498274;701797986;889898721;740804919;859279033;1235687634;921949287;680678045;583167295;753865605;470883095;605609379;420171845;229305093;303798362;2702526929;3246426485;718676017;651368906;583074504;
AM;13;Amazonas;199850305;269243372;436391538;777878762;862563476;1041054518;1280500950;1158438417;2183318834;1542963422;1184093871;1292582227;935257313;1160371266;929631348;979475713;1091960170;951557390;842828376;623563898;715409872;669616076;740025633;773960276;1131968162;1391844628;1033591452;1015606736;935547751;
AP;16;Amapá;64388162;62637267;45614384;36191489;28867964;16127001;19686233;47359795;79231942;136049004;128007305;194378761;182120378;349110650;604379127;464742179;435489783;421924247;249186670;262689801;269486731;283073905;252981449;300525686;272176183;188922245;174883752;163357523;118173727;
BA;29;Bahia;1851847465;1805381870;1570117112;1906752181;2068452137;2313566607;3188542963;4065221540;5902589403;6811528054;7683943121;9747646370;6716730539;8498585126;10509221835;10992305165;9820900317;8863118630;7519833142;6493607401;7860613876;7872218369;7530719983;7657315927;10750778367;15034005732;11101948437;10713652164;11278061966;
CE;23;Ceará;433561980;440966264;408048600;510229906;530674698;517539429;746233981;851250609;958991960;1001925232;1174483549;1306260989;1092235265;1262327529;1791525443;1587309906;1463383759;1526522131;1099357670;1324882209;2113694364;2334404915;2254281683;1849809510;2844576714;2342740656;2019390388;1439714681;2298522253;
DF;53;Distrito Federal;13236081;14009604;3293702;3097695;2843696;109446940;10753959;24238009;23450327;17705882;19048763;44761550;35269842;43602776;98213246;116085035;124906806;154291154;159720832;120398055;101496437;118604781;91529202;89238992;117286836;130305632;91256717;85908245;80819756;
ES;32;Espírito Santo;3265413067;3520989063;3079097223;3358148164;3020585203;3243418301;3851819117;4629743563;5773675700;6898557673;7158738029;10525340686;6967976962;12396852964;15361252091;12266083744;10938982067;12838054413;9891572502;6596216973;8551688748;9311277151;8711840002;5201438348;9719986226;9166909473;10196132234;11066988811;10885669731;
GO;52;Goiás;317095140;227431614;231048693;323919270;445471047;474261363;626548380;1071736001;1362114523;1515816173;2412637186;2692212409;2398585832;2776807879;4226648479;5073096098;4693189107;4980093106;4373816738;4619729565;5533990769;5204181065;6429477965;7359061756;8011859791;11739986981;12151570470;10557730680;11738206149;
MA;21;Maranhão;727945785;620493481;630556172;729765300;569019945;713123191;816335908;1313109117;1619277141;1665654696;2006861986;3152823311;1330198359;2133071509;3081334519;3113427812;2441963334;2663180233;3138280526;2299098099;3015502510;3259383124;3575471858;3401955747;4680123730;6083353516;5863681795;5964414766;5488513205;
MG;31;Minas Gerais;6932546457;6789226024;5968709335;5831319513;5202690771;5535543254;7047466261;9495717644;12742986222;14908542898;17600611890;23351083685;18021105058;29501695823;38659597152;31143126972;30852736481;28505076064;21711304419;21148854441;24523572933;23338668040;23043847900;24055645612;34626268135;36372813112;35574326561;37841581894;41008918409;
