Importações (FOB)
Sigla;Código;Estado;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
AC;12;Acre;25988624;882148;745603;5797110;5352396;3635741;817738;616794;501317;2022223;1646936;1149521;1393382;2957315;6777865;4592780;2085817;9675104;6460741;1745967;2012620;2763320;1959580;2853500;3741216;5247469;5192829;4433028;5181096;
AL;27;Alagoas;137884887;82222936;60432464;64689961;63748844;126162757;51230352;67391524;93000792;109937019;238742342;220472849;112488288;247802424;451507466;423363299;494157334;562190835;602737589;612145010;644488372;591516879;665934493;665571723;2089733268;5323112522;713372230;865596856;1119593024;
AM;13;Amazonas;4378385524;3077244782;2885322613;3922114095;3328778866;3049551356;3426457923;4290913891;5197314970;6257741862;6841495202;10019139007;6936838249;11046783294;12727749209;13398615602;14122749258;12921683962;8837922402;6255910554;8717986692;9993340175;10162375306;9718232050;13230670893;14197080427;12625801560;16138953694;16064503047;
AP;16;Amapá;48496634;17122305;22050890;28282050;11195523;8223837;4981920;28294408;16583174;10814427;52905037;44456930;40155526;49147843;67689128;120776071;89913566;101325241;47437843;17280159;51860584;165938199;121034929;181696284;424436703;772070030;1146248092;546705519;285532119;
BA;29;Bahia;1603031912;1534038202;1498340897;2249907457;2283236443;1864066260;1948929516;3001645947;3288881263;4449513462;5388209197;6294319791;4658615033;6721833349;7748335097;7888215582;8829175607;9292037605;8267902049;6165470280;7199182062;7920787297;6815545919;4755182071;8263457084;11481624188;8514077268;9927567385;9309975870;
CE;23;Ceará;685968128;609741789;587806879;719538502;622004408;635891452;540899353;572431052;588619913;1096703989;1407385451;1553925274;1230678595;2170307037;2404040485;2864908134;3302178753;3012979565;2689992986;3489865086;2243198393;2533888604;2357512565;2413548987;3917212972;4983720405;3160904423;2982734121;2733694803;
DF;53;Distrito Federal;303684198;392425761;664300004;508378403;566617833;585625172;536374363;502360537;740569385;856494843;1131940336;1082069470;1100019463;1570437641;1257099007;1172194591;1354926862;1279481387;1202788489;1490860093;1065117746;979746701;1108116858;1332633371;3611413665;2382954149;2165501648;1634976062;2257184132;
ES;32;Espírito Santo;4073277730;3298336649;2615951479;2508395370;2434079435;2024373825;2151034568;3007764530;4083520092;4897674042;6633967991;8608052154;5486034683;7616691324;10742734697;8697318371;7424346455;6878865948;5157457199;3707499550;4607638330;5034531121;6280365316;6229920143;6526593555;9118324402;9806549281;13873850007;13804906971;
GO;52;Goiás;255606230;307205868;334013855;385266588;395541699;329862144;381730840;629592450;725927632;994007629;1694056878;3049447966;2856527964;4160001407;5734059546;5135446419;4844373688;4420545736;3366791124;2641643424;3237280705;3584358522;3586277042;3319287282;5623962079;5883544881;4882354728;5597926222;5359732905;
MA;21;Maranhão;412259672;315810978;366983143;485120443;830501965;865905221;661240634;735801014;1156701471;1726150787;2323220600;4102926314;1993109981;3816155028;6282057334;7060628335;6833981329;7069140107;3621775605;2102035572;2559767098;3094192257;3551784462;1982290607;4688988230;7926121709;4859167581;3977352873;4757990490;
MG;31;Minas Gerais;3722865310;3846855687;3060289760;2791328414;3000863833;2506532267;2421687500;2983549707;3946689290;4887652763;6512610618;10481327549;7359705513;9970755303;13040583366;12062726348;12339703654;11011008750;8818268889;6555444668;7346760725;9077272913;8916106034;7813488699;13287717815;17200465895;15484424999;16813162318;18338303847;
MS;50;Mato Grosso do Sul;128068775;161993495;54127941;170171127;291941598;423805546;495712745;762540704;1066808204;1725697887;2277036663;3864885079;2776512149;3399311857;4475360527;5199831017;5756710549;5238484816;3427198647;2302180569;2525984690;2765364064;2405920276;1905191592;2587302220;2547126214;2951173423;2808106819;2712616758;
MT;51;Mato Grosso;43464446;67985938;159166359;99720613;145363537;213331572;281290377;433346022;416934802;408912036;771173307;1281617766;799466173;1000721438;1605378449;1617954769;1745826064;1799020512;1342586972;1185403279;1405240567;1595747894;2013038694;1800033265;3113512216;5795616511;3226203312;2748231821;2622853725;
PA;15;Pará;219029108;259050930;172584097;263508854;258550497;245182692;291393066;269014094;404723504;644283555;639430569;1012292758;794752853;1148014609;1345207368;1371198462;1117980258;977253651;953828545;1110924326;975162581;1189574324;1225528360;1199583967;1545453071;2740921997;1912429208;2044432937;2734680513;
PB;25;Paraíba;214368307;154424385;128241157;150345999;90224270;78829519;60520379;98681868;94614388;169495761;304445915;397111541;434344902;685715098;975848588;620204100;650887791;656214554;569912514;312891945;406231073;545487402;569169027;504628175;3184567156;3807403247;1076397231;1423237478;990890932;
PE;26;Pernambuco;896165077;942161989;746834527;954748766;1026752681;822602628;716213978;746457926;800225738;1019666642;1719024114;2460802182;1986512090;3273458251;5578261738;6593616357;6818631609;7335204185;5071646110;4449807678;5704263514;6508223371;5091572768;3448655753;6638382143;7859364232;7098435139;7432538328;7236627315;
PI;22;Piauí;49014928;26776279;12813762;15908408;15575824;12805788;10295220;16569369;14928601;26446368;43822796;71605110;68510206;188551510;157658907;170630670;197641375;246011171;111374472;92692806;348120913;136749363;288123670;299622826;641375057;386904027;533966591;277778376;305680017;
PR;41;Paraná;3294295281;4046657351;3702764291;4701318955;4937792984;3332606422;3489859880;4040784325;4537314136;5997827490;9048465089;14655004530;9683057487;14028794477;18855131783;19514131442;19470342156;17365132804;12509969349;11169375853;11582772265;12432663604;12764049881;10740511944;16972428927;22089860876;18182567473;15329491108;19963322895;
RJ;33;Rio de Janeiro;5180649167;4786663241;4404959065;5013979139;5370288720;5384246543;4946793605;6374907119;6702039704;7305096696;9580929653;14461446914;11653532036;16661688362;21191161558;20920816127;21630721550;21692037632;17198048172;12555282156;11087618285;24016851821;21207811794;24784910799;22683049056;25585563027;25847607617;27711907101;31417745672;
RN;24;Rio Grande do Norte;123515565;86550386;70078881;69759783;87245699;115787552;168620698;139528950;112081195;141651658;152004337;208099354;150046733;319281982;242969752;222369160;266296099;314295687;248207289;184556118;177082307;166986779;168235444;180388663;768368395;1187386977;687859874;594869827;428731042;
RO;11;Rondônia;17271414;15117725;5235662;45145020;35864932;88947230;9058264;12231533;20765446;53470555;68581698;166001850;166800164;236117789;407796400;677112317;615432675;642313681;635055201;544132192;760575629;889966011;975309228;567099152;594249716;719262120;1059907127;1382988844;2189893427;
RR;14;Roraima;6021367;8960693;1791794;4848427;3439134;2764643;2306731;2552730;865355;1217935;1186732;2472028;10069470;7486250;6792945;5880335;8086632;10334075;9638942;7103036;8486394;10536431;9282749;32421434;60210812;39819634;31135969;32345784;45643163;
RS;43;Rio Grande do Sul;3665517952;4297970501;3244101585;4028296798;4035022612;3527030094;4189124388;5283501524;6687249091;7950493973;10163075101;14496385205;9444634217;13255498002;13455528643;14904702800;16759756917;14934611880;10007516819;8305153039;9912436458;11267309360;9895829954;7224062917;11743220541;13634793816;13762247118;12969558272;13325974099;
SC;42;Santa Catarina;1422405273;1301802083;893218251;969710496;863429853;931803795;990098568;1502550489;2179348197;3446463279;4956141501;7870279916;7238433050;11582642563;14588668848;14436795741;14653631500;15946767631;12552257828;10296039048;12522049340;15426521079;16860644495;15982687271;24917244453;28838483818;28771535393;33056607075;28899061306;
SE;28;Sergipe;126555646;109805448;98295522;95232744;102282604;101861031;97152455;101051185;93376674;94223713;139886420;203559909;153309997;179942020;302116234;274264936;288880812;230091091;214446867;145869447;137913678;192343045;741205514;171844348;172217084;349366008;241259887;397893064;373508573;
SP;35;São Paulo;28416944497;27766723378;23353992254;25601527162;24632000879;19833510030;20376217019;27105808397;30484529948;36894512106;48310177175;66366788565;50549244350;68194979701;82431108286;77880652760;89875472283;84941795409;63843946288;51766863639;55301591114;60875961288;59382375438;51415269307;67227780335;76796684917;71774541327;74395865616;85111558567;
TO;17;Tocantins;25970994;37768716;22578286;9482358;3815130;24987221;19636029;32885154;14252439;24666975;73807922;142939768;127322056;239893504;162528986;127703620;186633513;238338562;143067162;116967376;216161370;229595191;175242319;253810851;775387244;1045420775;271882941;125879257;348079740;
